date, pm10, o3, no2, so2
2018/7/7, 19, 24, 11, 2
2018/7/8, 23, 33, 14, 2
2018/7/9, 35, 34, 15, 2
2018/7/10, 39, 36, 17, 2
2018/7/11, 51, 39, 16, 2
2018/7/12, 56, 28, 12, 2
2018/7/13, 47, 26, 10, 2
2018/7/14, 33, 26, 12, 2
2018/7/15, 31, 29, 11, 2
2018/7/16, 16, 33, 13, 1
2018/7/17, 18, 29, 13, 2
2018/7/18, 30, 28, 13, 2
2018/7/19, 32, 28, 12, 3
2018/7/20, 33, 30, 14, 2
2018/7/21, 33, 30, 12, 2
2018/7/22, 29, 24, 11, 2
2018/7/23, 23, 27, 12, 2
2018/7/24, 21, 26, 13, 2
2018/7/25, 24, 33, 13, 2
2018/7/26, 37, 34, 18, 2
2018/7/27, 62, 37, 14, 2
2018/7/28, 54, 31, 13, 2
2018/7/29, 44, 29, 11, 2
2018/7/30, 30, 29, 14, 2
2018/7/31, 38, 28, 13, 2
2018/8/1, 40, 25, 12, 
2018/8/2, 41, 35, 11, 2
2018/8/3, 27, 33, 12, 2
2018/8/4, 28, 32, 13, 2
2018/8/5, 30, 33, 13, 2
2018/8/6, 31, 30, 16, 2
2018/8/7, 40, 29, 14, 2
2018/8/8, 39, 31, 13, 
2018/8/9, 29, 38, 12, 
2018/8/10, 23, 35, 12, 
2018/8/11, 30, 29, 13, 2
2018/8/12, 32, 27, 10, 2
2018/8/13, 25, 27, 13, 2
2018/8/14, 25, 29, 15, 2
2018/8/15, 35, 33, 18, 2
2018/8/16, 31, 39, 20, 2
2018/8/18, 44, 34, 15, 2
2018/8/19, 38, 29, 13, 2
2018/8/20, 31, 32, 17, 2
2018/8/21, 32, 36, 13, 
2018/8/22, 24, 34, 15, 2
2018/8/23, 24, 28, 15, 2
2018/8/24, 24, 31, 19, 2
2018/8/25, 38, 33, 18, 3
2018/8/26, 40, 37, 20, 2
2018/8/27, 40, 35, 19, 2
2018/8/28, 144, 40, 18, 2
2018/8/29, 41, 38, 22, 2
2018/8/30, 51, 44, 21, 2
2018/8/31, 47, 36, 16, 2
2018/9/1, 39, 35, 15, 2
2018/9/2, 34, 34, 13, 2
2018/9/3, 37, 29, 14, 2
2018/9/4, 40, 34, 16, 2
2018/9/5, 38, 40, 18, 2
2018/9/6, 43, 38, 17, 2
2018/9/7, 49, 39, 16, 2
2018/9/8, 26, 40, 13, 2
2018/9/9, 28, 38, 13, 2
2018/9/10, 27, 31, 16, 2
2018/9/11, 25, 16, 13, 2
2018/9/12, 20, 34, 24, 2
2018/9/13, 46, 31, 17, 2
2018/9/14, 48, 28, 20, 2
2018/9/15, 57, 34, 18, 2
2018/9/16, 52, 36, 13, 2
2018/9/17, 34, 32, 17, 2
2018/9/18, 35, 29, 16, 2
2018/9/19, 31, 31, 19, 2
2018/9/20, 36, 35, 16, 14
2018/9/21, 51, 23, 13, 2
2018/9/22, 54, 26, 10, 2
2018/9/23, 39, 25, 7, 2
2018/9/24, 29, 23, 11, 3
2018/9/25, 39, 25, 9, 2
2018/9/26, 38, 18, 9, 2
2018/9/27, 33, 19, 8, 2
2018/9/28, 29, 21, 14, 2
2018/9/29, 57, 20, 11, 2
2018/9/30, 46, 22, 10, 2
2018/10/1, 42, 16, 12, 2
2018/4/3, 50, 30, 12, 2
2018/4/4, 15, 29, 15, 3
2018/4/5, 25, 27, 15, 3
2018/4/6, 29, 26, 16, 3
2018/4/7, 31, 27, 14, 3
2018/4/8, 27, 26, 15, 4
2018/4/9, 40, 28, 14, 3
2018/4/10, 41, 26, 17, 3
2018/4/11, 43, 27, 16, 3
2018/4/12, 26, 29, 14, 2
2018/4/13, 189, 27, 14, 2
2018/4/14, 40, 29, 12, 2
2018/4/15, 30, 31, 12, 2
2018/4/16, 29, 29, 14, 3
2018/4/17, 28, 31, 13, 3
2018/4/18, 28, 31, 15, 4
2018/4/19, 29, 29, 12, 3
2018/4/20, 31, 29, 12, 2
2018/4/21, 31, 28, 10, 2
2018/4/22, 12, 28, 13, 2
2018/4/23, 22, 32, 14, 3
2018/4/24, 31, 32, 14, 3
2018/4/25, 34, 30, 14, 3
2018/4/26, 33, 30, 14, 3
2018/4/27, 30, 30, 19, 3
2018/4/28, 74, 31, 30, 3
2018/4/29, 39, 28, 25, 2
2018/4/30, 29, 27, 26, 2
2018/5/1, 28, 26, 31, 2
2018/5/2, 35, 29, 25, 2
2018/5/3, 26, 26, 23, 2
2018/5/4, 19, 23, 26, 2
2018/5/5, 21, 28, 25, 2
2018/5/6, 27, 25, 26, 1
2018/5/7, 34, 23, 24, 1
2018/5/8, 29, 26, 23, 1
2018/5/9, 31, 23, 23, 1
2018/5/10, 27, 23, 24, 1
2018/5/11, 15, 25, 24, 1
2018/5/12, 14, 23, 23, 1
2018/5/13, 19, 21, 20, 1
2018/5/14, 6, 23, 23, 1
2018/5/15, 10, 24, 23, 1
2018/5/16, 16, 24, 27, 1
2018/5/17, 23, 30, 23, 1
2018/5/18, 24, 25, 23, 1
2018/5/19, 29, 23, 23, 1
2018/5/20, 25, 24, 22, 1
2018/5/21, 13, 24, 24, 1
2018/5/22, 19, 23, 22, 1
2018/5/23, 21, 25, 21, 1
2018/5/24, 23, 21, 20, 40
2018/5/25, 94, 27, 15, 1
2018/5/26, 28, 25, 13, 1
2018/5/27, 31, 26, 10, 1
2018/5/28, 55, 23, 15, 1
2018/5/29, 51, 22, 12, 1
2018/5/30, 25, 32, 13, 1
2018/5/31, 26, 30, 17, 1
2018/6/1, 23, 26, 17, 1
2018/6/2, 19, 24, 18, 1
2018/6/3, 18, 27, 19, 1
2018/6/4, 26, 22, 21, 1
2018/6/5, 21, 25, 16, 1
2018/6/6, 18, 29, 17, 1
2018/6/7, 26, 30, 17, 1
2018/6/8, 20, 28, 16, 
2018/6/9, 24, 31, 16, 
2018/6/10, 23, 31, 16, 1
2018/6/11, 29, 28, 19, 1
2018/6/13, 38, 24, 21, 1
2018/6/14, 30, 26, 20, 1
2018/6/15, 474, 27, 17, 1
2018/6/16, 45, 28, 16, 1
2018/6/17, 22, 26, 15, 1
2018/6/18, 23, 58, 16, 24
2018/6/19, 72, 29, 13, 2
2018/6/20, 24, 30, 12, 1
2018/6/21, 21, 28, 15, 2
2018/6/22, 28, 27, 16, 
2018/6/23, 37, 30, 13, 2
2018/6/24, 26, 27, 12, 1
2018/6/25, 24, 25, 13, 2
2018/6/26, 32, 31, 13, 1
2018/6/27, 35, 33, 13, 2
2018/6/28, 35, 29, 12, 2
2018/6/29, 39, 33, 14, 2
2018/6/30, 48, 34, 16, 2
2018/7/1, 51, 36, 13, 
2018/1/2, 24, 20, 13, 2
2018/1/3, 22, 21, 10, 2
2018/1/4, 19, 22, 14, 4
2018/1/5, 27, 20, 18, 4
2018/1/6, 38, 20, 16, 4
2018/1/7, 29, 20, 11, 3
2018/1/8, 24, 21, 14, 4
2018/1/9, 30, 21, 12, 4
2018/1/10, 22, 20, 12, 3
2018/1/11, 22, 20, 14, 3
2018/1/12, 24, 22, 19, 11
2018/1/13, 45, 31, 19, 3
2018/1/14, 37, 20, 17, 3
2018/1/15, 34, 19, 14, 3
2018/1/16, 15, 22, 13, 2
2018/1/17, 16, 21, 13, 3
2018/1/18, 19, 22, 12, 2
2018/1/19, 11, 18, 17, 1
2018/1/20, 14, 21, 14, 2
2018/1/21, 16, 22, 18, 3
2018/1/22, 37, 26, 12, 3
2018/1/23, 36, 21, 16, 2
2018/1/24, 54, 18, 13, 1
2018/1/25, 18, 19, 11, 2
2018/1/26, 9, 21, 14, 2
2018/1/27, 17, 21, 13, 2
2018/1/28, 17, 20, 12, 2
2018/1/29, 2, 21, 12, 2
2018/1/30, 1, 22, 13, 3
2018/1/31, 2, 23, 14, 3
2018/2/1, 1, 25, 21, 3
2018/2/2, 2, 26, 17, 4
2018/2/3, 84, 26, 19, 5
2018/2/4, 2, 21, 19, 5
2018/2/5, 2, 19, 22, 30
2018/2/6, 203, 20, 26, 6
2018/2/7, 68, 25, 18, 4
2018/2/8, 59, 23, 19, 5
2018/2/9, 79, 23, 25, 5
2018/2/10, 71, 23, 19, 4
2018/2/11, 60, 24, 14, 3
2018/2/12, 54, 23, 18, 3
2018/2/13, 60, 20, 18, 3
2018/2/14, 34, 21, 18, 3
2018/2/15, 38, 24, 17, 3
2018/2/16, 46, 25, 20, 4
2018/2/17, 53, 23, 18, 4
2018/2/18, 58, 21, 13, 2
2018/2/19, 17, 22, 15, 3
2018/2/20, 26, 23, 16, 3
2018/2/21, 37, 22, 19, 3
2018/2/22, 41, 25, 23, 4
2018/2/23, 50, 24, 18, 4
2018/2/24, 41, 25, 15, 3
2018/2/25, 38, 25, 15, 3
2018/2/26, 36, 24, 18, 2
2018/2/27, 28, 25, 21, 3
2018/2/28, 45, 24, 19, 3
2018/3/1, 34, 25, 16, 2
2018/3/2, 22, 25, 17, 3
2018/3/3, 44, 19, 20, 3
2018/3/4, 62, 24, 18, 3
2018/3/5, 64, 25, 16, 2
2018/3/6, 24, 22, 19, 3
2018/3/7, 53, 22, 19, 2
2018/3/8, 60, 19, 19, 3
2018/3/9, 56, 26, 14, 2
2018/3/10, 16, 26, 15, 2
2018/3/11, 24, 25, 17, 3
2018/3/12, 36, 25, 17, 3
2018/3/13, 34, 24, 14, 3
2018/3/14, 36, 26, 14, 3
2018/3/15, 48, 22, 16, 2
2018/3/16, 18, 20, 18, 2
2018/3/17, 19, 26, 16, 2
2018/3/18, 24, 23, 19, 4
2018/3/19, 56, 26, 18, 4
2018/3/20, 75, 28, 11, 3
2018/3/21, 83, 29, 16, 3
2018/3/22, 130, 23, 20, 5
2018/3/23, 60, 25, 17, 3
2018/3/24, 99, 27, 11, 4
2018/3/25, 96, 28, 14, 3
2018/3/26, 26, 25, 17, 3
2018/3/27, 30, 26, 18, 4
2018/3/28, 57, 26, 14, 3
2018/3/29, 92, 26, 12, 2
2018/3/30, 66, 23, 16, 2
2018/3/31, 61, , , 
2017/10/5, 38, 6, 9, 1
2017/10/6, 43, 6, 12, 2
2017/10/7, 40, 6, 13, 2
2017/10/8, 42, 6, 12, 2
2017/10/9, 46, 5, 10, 2
2017/10/10, 63, 5, 12, 2
2017/10/11, 20, 6, 10, 
2017/10/12, 22, 6, 7, 
2017/10/13, 32, 6, 9, 1
2017/10/14, 38, 6, 12, 1
2017/10/15, 29, 6, 8, 1
2017/10/16, 25, 5, 7, 1
2017/10/17, 18, 5, 6, 1
2017/10/18, 26, 6, 9, 1
2017/10/19, 82, 6, 11, 10
2017/10/20, 65, 6, 14, 4
2017/10/21, 52, 6, 12, 5
2017/10/22, 50, 6, 12, 4
2017/10/23, 44, 6, 12, 4
2017/10/24, 52, 6, 14, 4
2017/10/25, 68, 6, 19, 5
2017/10/26, 134, 6, 20, 5
2017/10/27, 85, 6, 16, 4
2017/10/28, 47, , 16, 3
2017/10/29, 46, , 8, 2
2017/10/30, 21, , 4, 2
2017/10/31, 11, , 6, 2
2017/11/1, 19, , 7, 2
2017/11/2, 24, , 6, 2
2017/11/3, 35, , 10, 4
2017/11/4, 58, 182, 15, 5
2017/11/5, 49, 24, 18, 5
2017/11/6, 54, 24, 19, 4
2017/11/7, 35, 25, 14, 3
2017/11/8, 85, 20, 17, 3
2017/11/9, 105, 14, 19, 3
2017/11/10, 74, 15, 16, 3
2017/11/11, 58, 20, 15, 3
2017/11/12, 57, 18, 20, 4
2017/11/13, 44, 20, 19, 5
2017/11/14, 48, 18, 20, 5
2017/11/15, 62, 16, 23, 4
2017/11/16, 67, 18, 22, 4
2017/11/17, 103, 19, 19, 7
2017/11/18, 84, 17, 20, 4
2017/11/19, 51, 23, 16, 4
2017/11/20, 61, 21, 17, 4
2017/11/21, 51, 24, 11, 3
2017/11/22, 24, 25, 9, 3
2017/11/24, 19, 17, 13, 2
2017/11/25, 24, 23, 12, 3
2017/11/26, 20, 23, 11, 3
2017/11/27, 33, 21, 14, 5
2017/11/28, 43, 19, 17, 5
2017/11/29, 52, 16, 20, 6
2017/11/30, 24, 19, 15, 3
2017/12/1, 23, 22, 14, 2
2017/12/2, 38, 20, 15, 4
2017/12/3, 48, 18, 16, 5
2017/12/4, 56, 16, 18, 6
2017/12/5, 36, 14, 20, 7
2017/12/6, 43, 41, 15, 6
2017/12/14, 274, 17, 21, 5
2017/12/15, 68, 15, 25, 13
2017/12/16, 62, 15, 23, 8
2017/12/17, 60, 17, 21, 8
2017/12/18, 60, 15, 23, 9
2017/12/19, 66, 15, 24, 11
2017/12/20, 44, 24, 16, 10
2017/12/21, 45, 15, 16, 4
2017/12/22, 96, 14, 21, 4
2017/12/23, 84, 11, 19, 3
2017/12/24, 27, 24, 10, 4
2017/12/25, 20, 22, 9, 2
2017/12/26, 13, 19, 11, 2
2017/12/27, 29, 22, 15, 2
2017/12/28, 57, 16, 22, 4
2017/12/29, 56, 16, 24, 7
2017/12/30, 57, 24, 21, 8
2017/12/31, 48, 24, 17, 6
2017/7/2, 34, , 9, 1
2017/7/3, 44, , 10, 1
2017/7/4, 52, , 7, 2
2017/7/5, 54, , 4, 1
2017/7/6, 21, , 5, 1
2017/7/7, 27, , 4, 
2017/7/8, 15, , 5, 
2017/7/9, 23, , 5, 2
2017/7/10, 24, , 8, 1
2017/7/11, 30, , 9, 1
2017/7/12, 35, , 10, 1
2017/7/13, 36, , 8, 1
2017/7/14, 36, , 7, 1
2017/7/15, 33, , 7, 1
2017/7/16, 36, , 8, 2
2017/7/17, 40, , 12, 10
2017/7/18, 53, , 14, 1
2017/7/19, 53, , 10, 1
2017/7/20, 51, , 7, 
2017/7/21, 40, , 9, 1
2017/7/22, 38, , 8, 
2017/7/23, 50, , 7, 1
2017/7/24, 38, , , 
2017/7/26, 39, , 9, 
2017/7/27, 34, , 10, 1
2017/7/28, 43, , 9, 1
2017/7/29, 47, 500, 7, 1
2017/7/30, 43, , 5, 
2017/7/31, 25, , 7, 1
2017/8/1, 32, , 10, 1
2017/8/2, 44, , 12, 1
2017/8/3, 46, , 17, 2
2017/8/4, 47, , 13, 1
2017/8/5, 41, , 13, 1
2017/8/6, 37, , 12, 1
2017/8/7, 30, , 13, 1
2017/8/8, 37, , 10, 1
2017/8/9, 32, , 9, 1
2017/8/10, 34, , 9, 1
2017/8/11, 36, , 13, 1
2017/8/12, 39, , 12, 1
2017/8/13, 59, , 9, 1
2017/8/14, 45, , 8, 1
2017/8/15, 43, , 7, 1
2017/8/16, 41, , 9, 
2017/8/17, 32, , 9, 
2017/8/18, 30, , 8, 
2017/8/19, 39, , 9, 1
2017/8/20, 40, , 8, 1
2017/8/21, 43, 2, 7, 1
2017/8/22, 37, 4, 9, 1
2017/8/23, 47, 4, 7, 
2017/8/24, 37, 4, 7, 
2017/8/25, 27, 5, 7, 
2017/8/26, 32, 4, 5, 1
2017/8/27, 28, 4, 6, 1
2017/8/28, 36, 4, 8, 1
2017/8/29, 47, 4, 8, 1
2017/8/30, 43, 4, 5, 
2017/8/31, 32, 4, 6, 
2017/9/1, 27, 4, 5, 
2017/9/2, 23, 4, 6, 1
2017/9/3, 23, 5, 7, 1
2017/9/4, 28, 5, 9, 1
2017/9/5, 32, , 13, 1
2017/9/6, 40, , 27, 1
2017/9/7, 75, , , 
2017/9/12, 44, , 11, 1
2017/9/13, 61, 6, 10, 1
2017/9/14, 47, 6, 10, 1
2017/9/15, 48, 6, 13, 1
2017/9/16, 52, , 15, 1
2017/9/17, 57, , 12, 1
2017/9/18, 66, , 10, 1
2017/9/19, 54, 6, 11, 18
2017/9/20, 53, 6, 18, 2
2017/9/21, 103, 6, 15, 2
2017/9/22, 82, 7, 13, 1
2017/9/23, 57, 6, 9, 1
2017/9/24, 117, 6, 10, 1
2017/9/25, 29, 5, 12, 1
2017/4/2, 19, 26, 5, 2
2017/4/3, 9, 24, 10, 3
2017/4/4, 14, 26, 11, 4
2017/4/5, 17, 28, 7, 3
2017/4/6, 18, 27, 10, 4
2017/4/7, 19, 25, 13, 4
2017/4/8, 17, 31, 8, 2
2017/4/9, 9, 27, 4, 2
2017/4/10, 4, 28, 7, 3
2017/4/11, 11, , , 
2017/4/20, 19, 24, 11, 3
2017/4/21, 9, 24, 12, 3
2017/4/22, 9, 24, 7, 3
2017/4/23, 11, 25, 5, 2
2017/4/24, 14, 26, 4, 2
2017/4/25, 5, 29, 5, 2
2017/4/26, 6, 24, 9, 2
2017/4/27, 7, 25, 10, 4
2017/4/28, 9, 27, 11, 3
2017/4/29, 10, 24, 8, 2
2017/4/30, 8, 31, 6, 2
2017/5/1, 7, 30, 9, 3
2017/5/2, 10, 21, 14, 3
2017/5/3, 14, 22, 7, 2
2017/5/4, 17, 24, 7, 2
2017/5/5, 4, 27, 9, 2
2017/5/6, 8, 26, 7, 1
2017/5/7, 10, 27, 5, 1
2017/5/8, 8, 28, 9, 1
2017/5/9, 7, 22, 10, 1
2017/5/10, 9, 19, 11, 2
2017/5/11, 10, 23, 7, 1
2017/5/12, 8, 27, 8, 1
2017/5/13, 9, 27, 8, 1
2017/5/14, 10, 24, 5, 1
2017/5/15, 11, 23, 7, 1
2017/5/16, 9, 20, 7, 11
2017/5/17, 187, 18, 5, 1
2017/5/18, 6, 17, 8, 1
2017/5/19, 6, 21, 8, 1
2017/5/20, 6, 22, 7, 1
2017/5/21, 5, 22, 5, 1
2017/5/22, 5, 25, 7, 1
2017/5/23, 6, 21, 7, 1
2017/5/24, 4, 26, 5, 1
2017/5/25, 4, 28, 8, 1
2017/5/26, 5, 25, 7, 1
2017/5/27, 5, 26, 7, 1
2017/5/28, 5, 27, 6, 1
2017/5/29, 6, 30, 9, 1
2017/5/30, 6, 32, 7, 1
2017/5/31, 7, 29, 6, 1
2017/6/1, 7, 28, 5, 1
2017/6/2, 6, 26, 6, 1
2017/6/3, 6, 29, 6, 1
2017/6/4, 5, 27, 6, 1
2017/6/5, 8, 22, 9, 1
2017/6/6, 7, 31, 8, 1
2017/6/7, 8, 28, 6, 1
2017/6/8, 7, 32, 6, 1
2017/6/9, 8, 28, 5, 1
2017/6/10, 8, 23, 5, 1
2017/6/11, 7, 27, 4, 1
2017/6/12, 8, 24, 5, 1
2017/6/13, 7, 26, 6, 1
2017/6/14, 7, 24, 8, 1
2017/6/15, 6, 25, 5, 33
2017/6/16, 87, 22, 5, 
2017/6/17, 20, 24, 7, 
2017/6/18, 21, 29, 6, 1
2017/6/19, 23, 26, 5, 1
2017/6/20, 29, 39, 7, 1
2017/6/21, 23, 26, 6, 
2017/6/22, 18, 23, 5, 
2017/6/23, 23, 22, 6, 
2017/6/24, 27, 24, 6, 2
2017/6/25, 22, 25, 6, 1
2017/6/26, 24, 22, 6, 1
2017/6/27, 24, 14, 5, 1
2017/6/28, 26, 2, 6, 1
2017/6/29, 29, , 7, 2
2017/6/30, 28, , 7, 2
2017/7/1, 32, , 8, 1
2017/1/3, 35, 17, 25, 5
2017/1/4, 47, 16, 35, 8
2017/1/5, 55, 18, 22, 9
2017/1/6, 83, 16, 21, 6
2017/1/7, 20, 22, 13, 4
2017/1/8, 14, 23, 10, 4
2017/1/9, 20, 24, 9, 3
2017/1/10, 25, 20, 17, 3
2017/1/11, 17, 19, 21, 4
2017/1/12, 28, 19, 22, 4
2017/1/13, 43, 20, 18, 4
2017/1/14, 23, 16, 18, 3
2017/1/15, 30, 13, 23, 4
2017/1/16, 41, 20, 19, 5
2017/1/17, 43, 21, 26, 6
2017/1/18, 55, 18, 27, 6
2017/1/19, 47, 16, 23, 5
2017/1/20, 37, 15, 18, 4
2017/1/21, 24, 11, 16, 3
2017/1/22, 26, 17, 12, 3
2017/1/23, 27, 17, 17, 4
2017/1/24, 45, 16, 19, 4
2017/1/25, 54, 17, 19, 4
2017/1/26, 37, 15, 15, 2
2017/1/27, 15, 16, 7, 2
2017/1/28, 7, 17, 9, 3
2017/1/29, 12, 18, 9, 3
2017/1/30, 16, 18, 22, 5
2017/1/31, 27, 19, 14, 5
2017/2/1, 23, 19, 5, 2
2017/2/2, 13, 20, 14, 3
2017/2/3, 23, 21, 23, 5
2017/2/4, 34, 18, 26, 7
2017/2/5, 47, 18, 27, 8
2017/2/6, 43, 18, 19, 5
2017/2/7, 32, 17, 21, 3
2017/2/8, 36, 18, 25, 4
2017/2/9, 40, 18, 28, 6
2017/2/10, 44, 20, 24, 4
2017/2/11, 41, 10, 27, 4
2017/2/12, 46, 22, 7, 2
2017/2/13, 21, 21, 8, 3
2017/2/14, 27, 19, 16, 4
2017/2/15, 41, 21, 9, 2
2017/2/16, 22, 18, 7, 2
2017/2/17, 13, 21, 5, 2
2017/2/18, 12, 23, 15, 4
2017/2/19, 39, 22, 22, 5
2017/2/20, 58, 21, 25, 6
2017/2/21, 63, 21, 21, 6
2017/2/22, 54, 17, 21, 7
2017/2/23, 44, 21, 14, 3
2017/2/24, 16, 16, 13, 3
2017/2/25, 25, 23, 21, 5
2017/2/26, 45, 23, 16, 5
2017/2/27, 30, 17, 21, 5
2017/2/28, 36, 19, 22, 5
2017/3/1, 42, 16, 20, 5
2017/3/2, 47, 20, 18, 7
2017/3/3, 47, 18, 19, 5
2017/3/4, 40, 13, 14, 2
2017/3/5, 20, 22, 16, 3
2017/3/6, 19, 21, 13, 3
2017/3/7, 36, 23, 10, 2
2017/3/8, 38, 24, 11, 2
2017/3/9, 44, 24, 10, 2
2017/3/10, 37, 21, 16, 3
2017/3/11, 56, 23, 12, 4
2017/3/12, 50, 23, 7, 2
2017/3/13, 895, 19, 14, 2
2017/3/14, 37, 23, 8, 1
2017/3/15, 24, 27, 7, 13
2017/3/16, 88, 22, 9, 3
2017/3/17, 15, 26, 6, 3
2017/3/18, 17, 26, 8, 2
2017/3/19, 8, 28, 10, 3
2017/3/20, 21, 25, 12, 4
2017/3/21, 27, 24, 6, 3
2017/3/22, 10, 27, 7, 4
2017/3/23, 10, 27, 8, 4
2017/3/24, 20, 29, 9, 5
2017/3/25, 23, 30, 8, 4
2017/3/26, 18, 28, 8, 6
2017/3/27, 21, 30, 7, 5
2017/3/28, 17, 30, 7, 3
2017/3/29, 11, 27, 9, 5
2017/3/30, 18, 27, 8, 4
2017/3/31, 15, 25, 9, 4
2017/4/1, 18, 23, 10, 4
2016/10/2, 90, 17, 7, 2
2016/10/3, 49, , , 
2016/10/6, 102, , , 
2016/11/4, 150, 19, 10, 3
2016/11/5, 52, 24, 6, 4
2016/11/6, 48, 25, 1, 3
2016/11/7, 47, 24, 2, 4
2016/11/8, 75, 24, 1, 4
2016/11/9, 91, 23, 4, 4
2016/11/10, 83, 28, 3, 3
2016/11/11, 80, 28, 9, 3
2016/11/12, 79, 25, 8, 3
2016/11/13, 80, 24, 7, 2
2016/11/14, 58, 21, 16, 4
2016/11/15, 112, 18, 13, 2
2016/11/16, 69, 16, 7, 1
2016/11/17, 29, 23, 7, 1
2016/11/18, 13, 23, 7, 1
2016/11/19, 26, 23, 7, 2
2016/11/20, 55, 25, 12, 3
2016/11/21, 27, 24, 15, 3
2016/11/22, 64, 25, 15, 3
2016/11/23, 34, 23, 18, 5
2016/11/24, 44, 22, 18, 5
2016/11/25, 40, 21, 15, 4
2016/11/26, 32, 22, 11, 4
2016/11/27, 20, 22, 19, 6
2016/11/28, 38, 22, 19, 5
2016/11/29, 42, 24, 20, 4
2016/11/30, 75, 31, 12, 4
2016/12/1, 28, 16, 14, 1
2016/12/2, 13, 18, 9, 1
2016/12/3, 8, 26, 11, 2
2016/12/4, 11, 24, 20, 4
2016/12/5, 20, 27, 14, 3
2016/12/6, 16, 23, 11, 1
2016/12/7, 21, 24, 12, 3
2016/12/8, 33, 25, 8, 12
2016/12/9, 26, 23, 10, 2
2016/12/10, 24, 23, 12, 3
2016/12/11, 17, 27, 9, 2
2016/12/12, 14, 24, 18, 3
2016/12/13, 23, 23, 14, 2
2016/12/14, 17, 25, 5, 2
2016/12/15, 9, 25, 12, 2
2016/12/16, 16, 25, 15, 3
2016/12/17, 24, 24, 18, 3
2016/12/18, 27, 14, 15, 2
2016/12/19, 29, 16, 16, 3
2016/12/20, 36, 16, 20, 5
2016/12/21, 43, 20, 23, 6
2016/12/22, 45, 18, 26, 6
2016/12/23, 41, 15, 29, 7
2016/12/24, 55, 18, 24, 6
2016/12/25, 42, 7, 32, 5
2016/12/26, 48, 14, 22, 3
2016/12/27, 26, 13, 27, 5
2016/12/28, 37, 17, 27, 5
2016/12/29, 35, 22, 17, 7
2016/12/30, 21, 23, 24, 7
2016/12/31, 29, 16, 28, 6
2017/1/1, 42, 18, 20, 4
2017/1/2, 23, 17, 24, 4
2016/7/2, 32, 38, 5, 
2016/7/3, 31, 36, 4, 
2016/7/4, 27, 32, 6, 
2016/7/5, 37, 34, 3, 
2016/7/6, 23, 38, 3, 
2016/7/7, 25, 47, 5, 
2016/7/8, 27, 41, 4, 
2016/7/9, 18, 36, 4, 
2016/7/10, 24, 33, 3, 
2016/7/11, 19, 38, 1, 
2016/7/12, 23, 35, 4, 1
2016/7/13, 25, 41, 5, 
2016/7/14, 27, 45, 5, 
2016/7/15, 25, 46, 5, 1
2016/7/16, 35, 43, 5, 
2016/7/17, 33, 44, 8, 
2016/7/18, 52, 43, 11, 
2016/7/19, 71, 36, 9, 
2016/7/20, 48, 41, 1, 
2016/7/21, 35, 42, 2, 
2016/7/22, 30, 32, 4, 
2016/7/23, 29, 35, 5, 
2016/7/24, 30, 33, 5, 
2016/7/25, 35, 36, 6, 
2016/7/26, 35, 35, 6, 
2016/7/27, 35, 36, 6, 
2016/7/28, 36, 37, 5, 
2016/7/29, 29, 38, 5, 
2016/7/30, 29, 43, 6, 
2016/7/31, 42, 44, 5, 
2016/8/1, 28, 44, 7, 
2016/8/2, 44, 45, 10, 7
2016/8/3, 36, 43, 9, 
2016/8/4, 50, 39, 9, 
2016/8/5, 40, 38, 11, 
2016/8/6, 39, 44, 6, 
2016/8/7, 40, 38, 7, 
2016/8/8, 37, 38, 5, 
2016/8/9, 29, 40, 5, 
2016/8/10, 35, 53, 9, 1
2016/8/11, 51, 42, 5, 
2016/8/12, 46, 38, 5, 
2016/8/13, 31, 41, 4, 
2016/8/14, 35, 37, 3, 
2016/8/15, 30, 30, 5, 
2016/8/16, 24, 34, 5, 
2016/8/17, 45, 28, 7, 
2016/8/18, 40, 37, 8, 
2016/8/19, 41, 43, 10, 
2016/8/20, 54, 51, 7, 1
2016/8/21, 55, 52, 6, 
2016/8/22, 48, 43, 9, 
2016/8/23, 50, 45, 11, 
2016/8/24, 50, 42, 10, 
2016/8/25, 52, 40, 8, 
2016/8/26, 83, 36, 9, 
2016/8/27, 68, 39, 7, 1
2016/8/28, 74, 49, 7, 
2016/8/29, 54, 45, 12, 
2016/8/30, 52, 32, 13, 1
2016/8/31, 79, 35, 9, 
2016/9/1, 57, 42, 6, 
2016/9/2, 43, 32, 8, 
2016/9/3, 64, 37, 7, 
2016/9/4, 44, 37, 2, 
2016/9/5, 25, 36, 8, 
2016/9/6, 35, 37, 7, 
2016/9/7, 35, 37, 7, 
2016/9/8, 47, 31, 11, 1
2016/9/9, 42, 30, 9, 1
2016/9/10, 32, 30, 10, 1
2016/9/11, 43, 27, 5, 1
2016/9/12, 20, 34, 3, 
2016/9/13, 21, 29, 11, 1
2016/9/14, 35, 33, 7, 1
2016/9/15, 41, 30, 7, 
2016/9/16, 22, 21, 9, 
2016/9/17, 28, 28, 6, 1
2016/9/18, 17, 32, 9, 
2016/9/19, 23, 34, 8, 1
2016/9/20, 31, 37, 5, 1
2016/9/21, 43, 28, 2, 1
2016/9/22, 46, 26, 4, 
2016/9/23, 94, 22, 9, 1
2016/9/24, 18, 26, 3, 1
2016/9/25, 25, 28, 7, 1
2016/9/26, 31, 27, 5, 1
2016/9/27, 49, 31, 3, 2
2016/9/28, 49, 26, 4, 1
