date, pm25, pm10, o3, no2, so2
2020/6/21, 33, 10, 34, 3, 4
2020/6/22, 30, 15, 67, 4, 5
2020/6/23, 41, 16, 45, 6, 5
2020/6/24, 38, 14, 32, 5, 2
2020/6/25, 35, 17, 31, 5, 3
2020/6/26, 36, 16, 46, 1, 3
2020/6/27, 39, 12, 38, 1, 3
2020/6/28, 32, 13, 39, 3, 4
2020/6/29, 34, 13, 30, 4, 3
2020/6/30, 31, 15, 31, 3, 3
2020/1/1, 13, 5, 26, 5, 3
2020/1/2, 16, 6, 28, 4, 3
2020/1/3, 20, 6, 28, 3, 2
2020/1/4, 31, 5, 31, 1, 
2020/1/5, 20, 4, 24, 6, 3
2020/1/6, 21, 4, 16, 8, 2
2020/1/7, 25, 3, 28, 6, 3
2020/1/8, 19, 4, 30, 3, 3
2020/1/9, 20, 7, 26, 5, 3
2020/1/10, 19, 5, 25, 8, 3
2020/1/11, 25, 10, 19, 8, 4
2020/1/12, 40, 9, 31, 7, 
2020/1/13, 39, 5, 26, 8, 3
2020/1/14, 29, 4, 28, 6, 3
2020/1/15, 25, 3, 20, 10, 3
2020/1/16, 24, 3, 14, 17, 3
2020/1/17, 28, 7, 30, 9, 4
2020/1/18, 23, 4, 31, 4, 3
2020/1/19, 13, 8, 33, 8, 
2020/1/20, 37, 4, 31, 6, 3
2020/1/21, 34, 11, 20, 13, 5
2020/1/22, 45, 5, 20, 9, 3
2020/1/23, 16, 8, 33, 9, 3
2020/1/24, 16, 7, 24, 8, 4
2020/1/25, 19, 7, 31, 7, 4
2020/1/26, 25, 4, 28, 8, 4
2020/1/27, 25, 9, 21, 9, 5
2020/1/28, 23, 4, 27, 6, 4
2020/1/29, 14, 4, 27, 7, 3
2020/1/30, 19, 3, 29, 2, 2
2020/1/31, 14, 2, 32, 5, 2
2020/2/1, 19, 4, 33, 4, 4
2020/2/2, 18, 11, 38, 6, 3
2020/2/3, 36, 3, 32, 5, 3
2020/2/4, 18, 7, 31, 8, 3
2020/2/5, 21, 2, 28, 2, 
2020/2/6, 15, 2, 26, 7, 4
2020/2/7, 20, 6, 34, 6, 4
2020/2/8, 18, 2, 31, 1, 2
2020/2/9, 16, 4, 24, 9, 3
2020/2/10, 23, 4, 33, 5, 4
2020/2/11, 22, 7, 29, 11, 4
2020/2/12, 37, 5, 26, 8, 4
2020/2/13, 26, 7, 13, 14, 3
2020/2/14, 25, 11, 19, 11, 3
2020/2/15, 26, 7, 16, 6, 2
2020/2/16, 23, 3, 30, 3, 3
2020/2/17, 17, 3, 27, 3, 2
2020/2/18, 20, 5, 30, 4, 4
2020/2/19, 23, 4, 33, 6, 3
2020/2/20, 16, 9, 35, 9, 5
2020/2/21, 35, 12, 38, 8, 4
2020/2/22, 39, 10, 34, 1, 2
2020/2/23, 47, 11, 36, 4, 4
2020/2/24, 38, 21, 28, 9, 4
2020/2/25, 51, 6, 36, 3, 3
2020/2/26, 36, 2, 31, 1, 2
2020/2/27, 14, 2, 29, 4, 3
2020/2/28, 17, 4, 23, 4, 3
2020/2/29, 17, 6, 34, 2, 4
2020/3/1, 29, 9, 38, 6, 5
2020/3/2, 30, 8, 32, 4, 4
2020/3/3, 23, 5, 23, 11, 4
2020/3/4, 25, 5, 35, 2, 2
2020/3/5, 18, 5, 35, 3, 3
2020/3/6, 27, 7, 34, 7, 3
2020/3/7, 27, 4, 28, 3, 3
2020/3/8, 19, 3, 33, 7, 4
2020/3/9, 15, 7, 24, 14, 4
2020/3/10, 22, 4, 39, 1, 
2020/3/11, 13, 6, 34, 4, 5
2020/3/12, 26, 7, 39, 5, 5
2020/3/13, 26, 9, 32, 5, 4
2020/3/14, 22, 5, 36, 1, 3
2020/3/15, 23, 5, 34, 2, 2
2020/3/16, 19, 6, 34, 7, 4
2020/3/17, 31, 11, 42, 3, 4
2020/3/18, 36, 15, 45, 7, 6
2020/3/19, 38, 8, 34, 1, 4
2020/3/20, 20, 11, 39, 4, 6
2020/3/21, 30, 11, 50, 3, 6
2020/3/22, 42, 8, 38, 1, 4
2020/3/23, 32, 8, 35, 1, 4
2020/3/24, 37, 4, 34, 4, 5
2020/3/25, 16, 8, 40, 8, 6
2020/3/26, 28, 13, 18, 13, 6
2020/3/27, 38, 7, 30, 5, 4
2020/3/28, 27, 5, 32, 3, 3
2020/3/29, 14, , , , 
2019/10/1, 57, 21, 34, 7, 6
2019/10/2, 51, 20, 37, 4, 4
2019/10/3, 47, 9, 30, 3, 3
2019/10/4, 20, 12, 33, 2, 4
2019/10/5, 27, 9, 28, 2, 5
2019/10/6, 24, 9, 22, 4, 5
2019/10/7, 26, 10, 25, 6, 4
2019/10/8, 32, 11, 32, 4, 6
2019/10/9, 22, 12, 45, 6, 7
2019/10/10, 38, 16, 23, 6, 5
2019/10/11, 43, 4, 23, 1, 3
2019/10/12, 15, 6, 28, 2, 
2019/10/13, 19, 8, 14, 5, 3
2019/10/14, 13, 7, 31, 3, 4
2019/10/15, 21, 7, 34, 6, 5
2019/10/16, 20, 13, 29, 7, 5
2019/10/17, 31, 8, 14, 6, 3
2019/10/18, 26, 5, 19, 7, 3
2019/10/19, 16, 4, 29, 3, 3
2019/10/20, 19, 11, 15, 7, 4
2019/10/21, 34, 6, 30, 3, 4
2019/10/22, 24, 8, 31, 6, 4
2019/10/23, 26, 12, 18, 9, 4
2019/10/24, 34, 5, 24, 7, 3
2019/10/25, 26, 8, 30, 4, 3
2019/10/26, 22, 6, 36, 3, 5
2019/10/27, 25, 8, 33, 7, 5
2019/10/28, 35, 9, 18, 7, 4
2019/10/29, 22, 19, 33, 6, 5
2019/10/30, 51, 26, 37, 6, 7
2019/10/31, 66, 21, 41, 4, 5
2019/11/1, 55, 19, 38, 5, 5
2019/11/2, 49, 16, 32, 4, 5
2019/11/3, 49, 10, 30, 3, 4
2019/11/4, 30, 9, 29, 7, 5
2019/11/5, 20, 6, 27, 8, 5
2019/11/6, 23, 12, 33, 10, 6
2019/11/7, 30, 7, 31, 4, 5
2019/11/8, 26, 6, 32, 5, 5
2019/11/9, 16, 7, 32, 3, 5
2019/11/10, 22, 11, 16, 11, 5
2019/11/11, 35, 6, 32, 6, 5
2019/11/12, 24, 12, 23, 12, 6
2019/11/13, 30, 10, 29, 7, 5
2019/11/14, 24, 7, 29, 5, 4
2019/11/15, 22, 11, 28, 8, 6
2019/11/16, 35, 10, 32, 4, 5
2019/11/17, 23, 15, 29, 10, 6
2019/11/18, 33, 11, 30, 3, 5
2019/11/19, 30, 5, 28, 3, 
2019/11/20, 15, 4, 26, 7, 5
2019/11/21, 20, 9, 16, 12, 5
2019/11/22, 35, 14, 25, 7, 4
2019/11/23, 43, 8, 21, 4, 5
2019/11/24, 29, 8, 25, 5, 5
2019/11/25, 24, 5, 20, 11, 6
2019/11/26, 21, 10, 16, 11, 5
2019/11/27, 25, 4, 25, 2, 
2019/11/28, 17, 2, 28, 4, 3
2019/11/29, 18, 3, 30, 7, 4
2019/11/30, 24, 9, 28, 6, 8
2019/12/1, 33, 7, 28, 9, 6
2019/12/2, 25, 5, 30, 5, 2
2019/12/3, 18, 4, 21, 9, 3
2019/12/4, 18, 9, 5, 11, 3
2019/12/5, 17, , , , 
2019/12/9, 38, 9, 24, 11, 5
2019/12/10, 32, 13, 16, 12, 4
2019/12/11, 30, 16, 26, 6, 3
2019/12/12, 32, 5, 22, 7, 3
2019/12/13, 22, 7, 23, 6, 4
2019/12/14, 20, 7, 25, 3, 3
2019/12/15, 29, 9, 21, 10, 4
2019/12/16, 34, 10, 13, 12, 4
2019/12/17, 21, 5, 28, 7, 3
2019/12/18, 25, 7, 24, 11, 
2019/12/19, 30, 8, 25, 8, 4
2019/12/20, 23, 6, 24, 8, 3
2019/12/21, 30, 7, 25, 3, 3
2019/12/22, 21, 6, 27, 7, 4
2019/12/23, 26, 3, 30, 4, 3
2019/12/24, 21, 6, 28, 8, 4
2019/12/25, 30, 7, 18, 8, 
2019/12/26, 26, 4, 31, 4, 3
2019/12/27, 16, 3, 30, 2, 3
2019/12/28, 12, 6, 26, 5, 4
2019/12/29, 32, , , , 
2019/7/1, 25, 21, 56, 8, 5
2019/7/2, 50, 29, 37, 7, 4
2019/7/3, 58, 9, 35, 4, 4
2019/7/4, 36, 23, 42, 7, 5
2019/7/5, 54, 13, 54, 4, 5
2019/7/6, 32, 16, 39, 3, 5
2019/7/7, 36, 16, 43, 6, 6
2019/7/8, 44, 15, 38, 7, 6
2019/7/9, 36, 19, 48, 8, 7
2019/7/10, 45, 15, 29, 8, 5
2019/7/11, 35, 11, 40, 4, 4
2019/7/12, 25, 11, 37, 4, 5
2019/7/13, 25, 10, 38, 2, 4
2019/7/14, 22, 12, 34, 6, 4
2019/7/15, 24, 10, 30, 8, 5
2019/7/16, 29, 13, 56, 7, 5
2019/7/17, 38, 14, 20, 5, 4
2019/7/18, 36, 8, 26, 7, 3
2019/7/19, 25, 12, 7, 4, 2
2019/7/20, 23, 15, 10, 4, 3
2019/7/21, 28, 10, 7, 5, 2
2019/7/22, 22, 15, 38, 3, 3
2019/7/23, 38, 23, 38, 4, 4
2019/7/24, 46, 30, 59, 5, 5
2019/7/25, 60, 14, 25, 2, 4
2019/7/26, 28, 7, 11, 4, 2
2019/7/27, 22, 24, 33, 3, 4
2019/7/28, 56, 41, 39, 5, 6
2019/7/29, 80, 38, 46, 4, 5
2019/7/30, 74, 31, 40, 4, 4
2019/7/31, 62, 43, 39, 4, 5
